Sample,TNBC1,TNBC2,TNBC3,TNBC4,TNBC5,TNBC6,TNBC7,TNBC8,TNBC9,TNBC10,Normal1,Normal2,Normal3,Normal4,Normal5,Normal6,Normal7,Normal8,Normal9,Normal10
HNRNPC,24255,32690,25471,64465,24125,41341,46174,47674,49295,16449,31538,13467,28514,11825,20629,22959,14856,18189,22250,12890
TLN1,18354,22802,10130,17923,18528,39911,11220,33754,17016,10022,28623,34230,33351,64537,43023,26480,35385,26894,18496,53132
RPL34,7048,8780,36626,29293,8375,13597,27572,98511,23149,18858,54511,18165,37725,15482,29985,36194,17901,33821,33354,14621
TPM3,45484,72269,15701,42200,16145,40604,74216,54675,36376,30543,17610,14109,14008,9086,16421,12911,12078,11425,14111,11625
FLNB,20060,54674,11844,10637,26223,30299,6882,36314,40895,16248,46302,13770,48644,16996,27025,40996,44168,35991,23562,9820
SEPP1,1595,3528,11557,4484,77191,18978,6988,12880,1694,2807,44051,57681,45070,48647,40951,56935,28557,31611,15813,50181
LGALS3BP,24110,56139,4200,2834,6364,126730,27190,41064,10891,4775,32228,19922,26837,29815,40095,21962,19153,19346,23450,23941
FBN1,14259,10045,2984,1933,42742,28045,5635,6627,4377,1357,15572,218469,25295,42274,23103,8432,39262,18785,3048,48605
PRDX1,26709,36966,17642,63098,46119,32799,39704,41531,68659,33795,22531,13859,12755,9046,23308,15012,12116,16258,17435,8812
COL6A1,40878,40888,22240,10139,20730,44133,11576,9972,16918,12064,33293,44979,35947,31172,63888,13936,25187,19463,23423,36794
RPS13,17241,11959,12974,19640,13795,13546,31316,105752,70069,30133,33087,15639,29167,17598,26785,21983,15374,21920,29511,15694
DHCR24,2197,29053,2089,45229,85505,31005,32126,21627,15543,62395,44517,8607,25566,6055,30967,21546,22300,26889,29089,9591
FOS,6763,2347,1788,672,1825,12657,7884,2249,1373,3855,29522,31430,75923,85432,46243,59964,44988,19876,21615,90057
TM4SF1,67537,10781,31170,20062,3584,17028,98935,55949,62425,10097,22620,4890,31312,8883,17309,35106,10616,18156,14245,5390
UBA52,14792,19337,28752,33105,25237,20756,61330,86689,27575,18366,30934,16018,23487,16269,28773,17168,12764,17966,29831,16859
FHL1,481,613,1234,919,2603,795,1944,1219,657,256,11496,85243,24130,91391,75057,16867,43303,35638,1459,148626
GANAB,12489,34707,9571,61702,32176,41996,15322,49852,49017,14951,27704,16557,30737,17008,22870,22608,23094,18738,22324,16774
DDX17,12754,17458,14456,32913,29047,38392,43934,27439,27141,10891,38753,15699,54865,15725,22274,50482,21552,30951,17839,14005
CCT3,50971,50622,17272,39385,20952,26660,57223,64424,49805,44305,18414,6848,16477,6730,12720,10948,8419,8629,18650,6273
SLC25A6,8693,13402,16055,30321,12473,15272,8432,66181,66031,56774,29941,15202,33398,21082,31229,17265,15056,17196,42545,17943
COPA,45066,48392,13425,40700,32104,49169,53773,53630,31627,27589,15557,11820,17460,13887,15320,14406,13589,12114,10475,13614
RPN2,16045,27681,9452,46014,86822,23807,43658,40040,56263,19674,26449,10688,18058,9382,20116,15831,16089,15797,19832,10921
2-Sep,25021,17368,9964,17305,32450,24344,20962,62337,23568,8722,34868,25346,29987,34084,26501,27112,31670,32093,17164,31514
PCBP2,14487,18478,8238,31274,25807,23041,32462,60908,24411,15735,34245,22994,36510,26793,29603,30496,21255,24430,28844,21278
RPL22,15000,13665,13993,12770,13825,23496,17389,118419,22060,27905,37770,15231,36887,17421,26361,27688,19036,24085,30800,17304
RPL29,7537,15127,49596,12608,17156,15692,25228,59366,27476,30994,44121,15153,40687,15454,32315,21818,15264,21647,48297,14045
GDI2,31704,33386,8437,23589,25965,78225,47733,56071,58737,21139,18318,13614,16604,12533,15388,14681,10944,13469,14665,13267
CTNNA1,13163,20553,10604,56944,25495,51856,15050,49685,22183,12712,30191,17389,30542,24260,27951,25797,22087,22127,26501,21989
CSRP1,9813,17589,19195,26121,9519,13535,30190,18595,30229,3032,75018,6278,53682,18388,32787,41698,22584,35848,54700,6080
YWHAQ,17474,39187,10935,52832,19773,35742,50319,59270,43789,31012,23372,13057,22042,10293,16297,21553,15763,15151,16196,10740
EIF3E,16433,17498,27709,43302,28081,27086,58024,72920,30800,20748,26240,12513,31253,14704,15510,18343,13872,17861,19197,12680
NAP1L1,23729,15204,8379,36485,14021,14361,34258,94576,75435,18544,25479,14605,27504,16644,17884,20077,13980,16311,18815,17040
ANXA1,9320,11182,3632,4819,6352,35876,47131,5863,27268,1593,32844,42810,26601,45148,41254,30898,39213,33413,19533,57797
SQSTM1,18846,21070,9866,19368,62282,68398,4706,42551,30972,15413,21704,25664,17108,21773,39795,17794,16156,17878,22985,26259
SERPING1,12995,32953,4988,6436,16962,43485,14806,17279,9076,2222,49164,49809,21641,37647,45632,32925,27046,31693,14652,45601
CAV1,1163,4864,4317,1260,3517,3947,12470,1057,1847,1078,19213,49249,20816,99115,65211,27142,54475,44975,7362,93512
SPARCL1,3021,5941,3918,5513,11389,8338,10337,12519,2734,3556,64000,43567,43583,37378,47127,47458,37632,61577,24632,40523
RPL27,7224,21067,8861,25034,19265,15745,28032,68428,26177,30892,48152,18834,27075,16587,37387,20447,15085,25945,36543,13472
KRT8,22159,63425,14432,32239,18211,12267,11354,55846,26233,35336,54126,410,30573,1273,23746,18038,15703,14900,58068,898
RPSAP58,22786,19917,15476,14588,17398,21997,25378,72913,109665,13778,26640,10023,30315,8667,19779,17465,12581,14652,27154,8000
EIF4G1,26988,39861,6872,38039,27297,71837,7733,40634,45696,18291,24992,12980,26115,17523,19030,16733,16622,14473,21109,15626
HLA-E,26842,39704,6564,7580,11969,52640,5749,41842,17457,5856,30303,26020,20839,26676,40599,39354,23066,32522,17978,30370
LUM,26165,26749,5965,4440,102824,59785,12685,9458,14206,3804,22784,27881,27886,15779,35692,22790,28363,29391,9065,18145
CD44,20207,29161,4837,69372,28881,53593,26275,12682,23964,5290,27416,24644,35488,8135,20927,27681,31166,22922,16890,13348
EIF4B,9817,9221,6393,17621,19654,11837,14275,74469,24342,11681,32193,20471,55822,29279,28871,36191,23670,27020,24339,25647
THBS1,24304,37964,10793,5620,38518,97835,23930,8969,32813,3320,23999,15758,36489,13126,29372,21686,15025,25364,11469,23491
PPIB,19451,34584,46051,26270,18325,42897,33754,45629,53214,14059,31653,13826,17857,9387,21748,13300,9994,13561,24166,10062
CD164,17721,8878,9079,25812,45192,46534,23536,18902,14461,11132,21208,21019,33207,36071,31670,35556,32049,28598,13204,23193
GPD1,18,281,47,21,322,7,612,137,21,867,4193,54903,13174,133181,55820,17433,44774,25959,2343,139560
HSPG2,10777,12657,10965,9944,14031,28498,6457,3322,16064,7132,18914,54642,33257,75626,42281,16474,35476,21563,12978,58339
MYL12B,19962,22165,30961,31591,33502,67209,23352,26743,38958,27541,29015,11433,17506,11534,18381,18629,13038,16284,18980,12227
NONO,27404,28019,10505,48563,19569,49822,35220,54370,42789,21159,20610,9733,23287,10032,15265,17460,11755,12276,18784,8476
SEC61A1,20758,27830,10427,68808,39360,43111,21887,48964,19547,15264,24332,13738,22069,10431,20438,16271,14635,14225,20898,11533
LAPTM4A,20187,30379,8251,38037,21403,31397,22089,28322,24451,19467,32880,22552,27669,17501,26218,25166,21160,23188,20124,21799
IQGAP1,18310,24575,4823,18322,26025,53350,25563,32805,67452,5981,21036,18062,34893,17120,16724,23850,17881,20727,13839,17785
MARCKSL1,14624,14091,24388,178487,5512,35747,26910,32614,34865,22002,16889,999,14694,1584,10013,11128,7244,4287,21606,663
GPNMB,8976,29901,6927,12609,57691,147931,3524,7409,7852,7421,18183,34172,9627,10688,31161,21961,14174,19510,4295,23024
DST,2533,13034,1818,6014,7193,19883,14328,6331,15914,1255,76875,15882,66887,18192,28466,67289,25668,48700,21361,17548
KRT7,50902,44272,21698,28527,21588,9700,10161,32011,36103,25859,31663,52,29580,1084,31096,18779,11958,12238,56991,371
PIP,1,2,25,13,149985,680,0,293,6,20,78956,2,26264,3,152732,19237,2570,31806,11382,25
SPINT2,9960,40874,10676,34609,24315,28730,7985,62093,69939,32912,38298,748,22781,679,15757,19929,10538,12433,29857,732
XRCC5,16057,18393,11288,42983,25961,30165,51792,53923,43209,12014,25147,10259,21573,11074,17334,21043,15075,15932,19636,10895
BTF3,13782,12407,8978,13133,14959,11981,32910,54534,29000,15095,42622,14356,37799,18327,29232,26882,20856,25587,34379,16101
PGK1,36986,64835,4901,11203,39994,28377,17741,45548,65706,15627,17380,11965,11575,14429,17490,13052,13710,11939,15992,14143
POSTN,27334,46704,19456,7088,85473,79665,22002,13574,17557,9757,20998,4847,66542,5875,4305,7985,5672,10864,9942,5983
DSTN,17086,23110,11722,22408,42253,23002,29698,17791,27044,17888,38831,13399,27107,20640,25191,31606,22192,25984,19409,12733
KRT17,6406,89297,521,975,16,8861,12867,7320,38955,61789,65752,1099,25195,3275,46118,28561,13102,23120,34491,1318
RPS7,7807,11369,29073,17459,12256,16085,44841,91441,36711,43501,27018,9012,22546,9994,17755,16471,8984,14339,23077,8264
EIF3L,9111,10005,7809,22268,14846,14005,31087,34079,45112,15507,37293,15568,42165,19642,27702,28086,17654,25390,32608,17107
SSR2,22387,34568,34857,70539,17798,18861,36767,56771,23334,27569,19564,7537,15682,6405,16378,11961,7926,11013,16037,6832
GNB1,22198,25715,8685,14588,21278,65796,17608,27291,39957,14585,24561,16634,24131,19637,23441,22587,18968,17658,17604,19578
BSG,14789,22027,46623,59714,24786,19474,20303,33702,27331,9155,22049,15815,17856,18999,25392,12134,14734,12724,28717,15371
NCRNA00188,10938,9718,14541,11235,10674,13843,15170,132193,27382,15191,24588,12546,31947,25458,18985,16319,16411,15602,22390,15511
MMP2,15603,35291,4870,5259,45597,39497,9338,7213,19649,2604,43257,36577,25027,14574,47766,24444,19105,17995,12854,33147
VWF,3798,6105,2988,3036,5468,13580,4730,2417,3134,2944,27488,44362,18314,75348,65570,27360,44974,47751,9601,49567
DDX3X,16241,14788,6230,16955,48705,37663,21978,24497,30975,11576,23766,17099,35828,22992,19558,27890,22768,22165,14772,21645
RTN4,12159,12772,9207,14763,15422,19771,21212,18414,24021,12314,29360,38443,22035,44327,32072,23782,27600,24236,14539,40812
HMGB1,20310,13530,11700,50841,21661,25121,66381,63035,38275,7075,17799,11820,15338,12292,14236,20874,12185,12653,11530,10457
TXNDC5,12736,27005,14804,34482,64980,32934,21295,21056,50946,4542,22782,14504,19998,11005,23051,17234,14026,20177,15123,13802
SAA1,517,435,219,63,389,325,1632,9884,3876,34,31278,13975,20962,135112,85728,9496,51945,60502,5019,24326
PDIA6,16729,57167,8854,38378,36206,47386,18982,59824,28749,24266,18181,9400,15845,7493,14052,11822,9461,10973,14277,7399
NDRG1,4729,107128,16898,34401,16547,19968,1991,19877,52919,20832,12809,18773,13783,23078,19614,12924,15920,12854,6827,23389
LAMC1,7282,13838,13493,18937,21246,37073,15624,10269,35720,2106,16481,41017,31989,47376,26676,19620,26889,21656,9481,37093
AQP1,2334,2895,9177,5497,5642,13249,22911,2960,2394,1931,44035,25014,29462,36363,57073,36859,35404,49367,28950,38629
TMED2,19777,24737,8475,40195,52961,56725,40776,42382,15996,11741,16014,9349,18378,11660,13663,15334,15425,13881,11998,10067
SERBP1,19000,26999,9446,48975,11611,45954,43341,52993,22024,17188,18535,12383,23040,13803,14301,17403,12602,13267,15261,11077
PERP,18084,25706,6437,48009,39709,31506,49499,21657,21730,41802,24468,2269,25224,2239,16504,21770,10857,14563,22777,4104
CALM1,18450,19076,19323,16184,35622,24746,33790,14474,27197,9161,17575,19945,17288,32967,27415,20646,25306,19340,11053,38034
VCP,21756,21612,12698,31951,26925,36194,20079,44896,23836,22491,22765,14700,18905,18471,23037,15750,15312,15084,21978,17223
DBI,10373,13719,20702,136441,98984,10818,15495,14364,11011,14879,13695,6517,11330,8915,14111,9882,6712,7109,11507,8645
ACTN1,21842,52147,9206,14686,14949,42231,27620,11962,51246,4880,33938,5864,26969,17873,20408,21617,14748,15465,25907,10965
HUWE1,16084,25157,5252,17025,33220,77078,24827,26372,36385,17754,15187,12535,27397,17671,13716,21343,15074,13911,11633,16286
SLC25A3,7318,17636,9339,24036,19888,29305,30958,47199,56544,11985,23786,15745,20554,21945,21602,17969,15956,14566,20899,16515
STAT1,27087,62622,1976,6002,17148,140185,22326,40129,29336,2491,11588,6382,8503,8392,8406,21224,7401,7009,5281,8773
CDH1,19018,15929,14913,19878,64607,29566,32015,16177,26200,18031,34844,112,38843,800,14604,32680,15640,16259,29244,431
MGST1,6113,11569,5665,8050,51167,28270,12542,65894,12528,21451,11850,20289,12722,39627,35249,9655,26828,16420,10935,32513
MYL9,4214,23697,7907,4046,7247,7499,4457,12311,12013,2060,59338,16666,29997,60684,50890,26156,34126,29392,28948,17618
RAD21,25572,29003,26771,62989,28567,30814,41689,33786,42329,11496,11584,8438,14430,9002,8259,14413,13136,9830,8204,8240
PPP1CB,18361,24647,15008,27656,31201,41808,31401,39276,27315,17876,16557,10629,30431,13536,15559,21720,16153,16529,13953,8391
XIST,6278,2709,13439,23412,24458,14837,82757,5135,10394,9170,30547,15065,45206,17395,11515,59486,21846,21901,5711,15036
DGAT2,3020,1805,2700,8143,1996,4925,5028,3858,3359,97240,4319,21911,10324,76888,48735,15793,40025,19302,2600,64266
RPN1,20645,26243,12435,66146,26508,32984,38075,43672,20000,16527,20753,10603,13693,8770,17648,12605,11048,11644,15812,9629
TMEM123,19162,28769,5500,25223,37605,47173,26151,83446,20177,24187,16717,6250,21478,4966,10292,21142,9241,12777,10535,4112
SORBS1,993,4501,630,1196,3981,5621,1594,5591,799,191,7752,40912,19821,87648,35143,19611,55203,28478,1831,110259
OAZ1,15823,25397,19158,36555,11853,20651,12716,42873,24539,20550,30530,18474,17384,16417,30998,17536,13449,14673,25479,16660
NUMA1,7951,14240,6760,30398,16029,20377,4561,32322,22487,13885,34989,14004,38540,17742,27393,38343,25410,23560,26524,15742
AOC3,710,1015,1072,1220,1357,888,1765,377,762,619,8491,46570,15814,110321,50815,16267,43691,26333,3019,98345
TUBA1A,28194,18135,5576,73386,7519,10685,21320,51699,36338,4244,23673,12316,23862,10522,20282,15514,14088,15988,25221,10709
CNBP,21904,15583,8507,30928,15204,29617,35446,42268,22145,10916,29101,13391,20229,15637,20793,27039,15559,20660,17845,14944
KRT14,30852,43400,466,659,0,774,3780,4343,2576,3176,132733,295,35664,3791,45607,26039,27058,27274,36906,848
TMED10,11479,15718,10042,15392,54061,31560,30808,22599,30677,9968,24645,13025,28093,16200,20486,21749,18935,19631,16062,14004
NME2,14765,22795,24095,35768,17124,18036,28115,46018,64666,11769,23313,10114,17932,9093,17786,11391,9336,11595,20846,9303
RPL36,6610,16164,36900,16176,6921,8416,18509,64005,27585,24640,37220,7892,28308,7206,24821,16790,8540,14586,42369,8976
GPI,13888,35978,6350,15747,11858,34228,31139,29140,76615,18255,12619,14898,10255,25570,22444,8337,12523,9680,15765,16565
IFITM3,40544,37687,12390,6676,8577,40603,46966,13870,7285,1956,51865,17685,11014,12498,26611,22491,12934,15647,21344,11942
AEBP1,22036,49917,9006,8477,39582,55107,5264,8308,16199,5199,33488,16688,15979,20665,35804,15676,17638,20026,9301,15469
YWHAB,21099,19352,11504,20048,46363,18631,38807,32792,27120,13016,22185,13533,18619,16081,19755,16750,19125,14740,14239,15947
EEF1A1P9,9217,9938,4422,16734,11594,14383,16041,84724,34561,16432,28658,11967,29006,13818,22093,17648,13642,17315,33602,13117
MAP4,14442,20872,8770,8228,15553,41831,7958,17415,37303,7327,18580,23407,23354,37063,26221,16573,26564,18332,14604,33938
CRYAB,6837,1995,12018,3565,5533,30094,30870,26141,9842,508,12387,14083,17105,51526,40550,9610,36326,17213,7733,84131
RPS21,19429,10297,18761,19198,13415,8419,41127,87991,34743,31179,21551,5863,17288,5545,17203,9858,7519,11938,31439,4104
CAPRIN1,19836,18782,6855,23905,21899,35494,40367,45326,30116,17041,17156,11147,23914,13075,13401,17629,22370,13348,13561,11644
NFE2L1,13235,17381,5011,31700,19499,25139,10995,17335,26664,7296,24351,23227,23354,28004,26567,21268,19811,18713,27022,30252
PEBP1,15087,18804,19847,30010,17576,22515,31029,33088,15416,20519,30342,10384,19159,18344,25859,20494,15795,16850,18680,16373
ZFP36L1,9579,21031,8770,13583,14994,38350,14736,23599,18529,5168,20344,16770,44902,21162,20310,40314,17350,25899,20048,20540
PCBP1,17993,20042,15633,23055,16816,26514,46616,33164,27375,17391,19985,15700,17993,18632,20577,15814,13199,13936,19412,14633
XRCC6,13833,20983,9138,24950,22925,34409,25752,31120,57279,11711,23252,11501,18087,13886,17828,18196,13173,14750,17697,13145
PRDX6,10005,12989,21999,20830,15984,13503,55877,36211,18200,31785,14183,23103,12306,37979,17514,11735,14190,10713,9773,24644
CTNND1,14937,15548,9874,24004,38319,26806,27384,24188,18735,9093,22586,11543,39501,15265,15327,30696,18466,20371,18083,12509
EEF1D,11430,25426,26072,42200,9489,9166,3057,50624,32990,22858,31375,8975,21648,9086,25982,15279,10955,14133,32358,9806
JUP,17898,25608,6076,46754,18203,16616,18199,17849,23611,21701,24192,3260,25652,4978,18258,15629,10394,12661,81150,3282
HNRNPA1,12794,10276,21201,53642,7794,10149,28290,53455,33772,15504,25488,8565,24509,8242,17630,19079,12819,16194,23896,7440
LGALS1,13925,30339,28086,12014,9378,13905,6335,16175,35382,3184,19680,30333,12958,33851,47152,8952,17436,17113,14877,39315
PEA15,22886,36193,14216,23348,21741,21599,21027,22450,17352,18815,19271,17629,15575,21960,25674,14812,17574,15891,10395,31396
ARL6IP1,13477,35584,27689,40605,29625,32401,41297,42556,22652,11815,10860,10719,12399,12277,12708,13505,13045,9178,7750,9276
SLC39A6,3942,6249,3512,9607,30866,18338,4422,8116,18522,4959,91409,3044,51264,4702,16703,27786,43883,38659,18761,3665
UBA1,14108,21230,14340,24126,20857,44114,30139,26681,32909,15125,23194,11515,20268,13123,20156,15033,12559,13028,21586,13500
RPS10,7630,16735,18284,13088,10634,15179,38873,81511,46575,24038,15018,7511,19368,3850,20439,13147,8457,12954,26095,7821
CALD1,12458,20822,9103,13571,23187,43128,16230,13233,13609,3528,27341,19445,31733,33083,19075,30507,26867,25671,10305,14044
EMP1,16643,9749,4501,2385,18810,21109,12891,6317,11265,3912,19875,35730,28639,53608,29909,15988,33706,27112,8444,46009
PRKDC,17197,28415,9882,16672,57019,66899,28491,28731,42019,10853,10905,7997,15928,8655,7274,11549,13762,8369,8206,7756
BGN,28128,36986,41602,18910,40574,81419,25877,16893,28972,12529,10632,12999,4331,7541,9342,4419,8849,6173,3874,5957
SERF2,15729,17383,44710,23837,29219,20671,22203,30101,20687,15181,23839,13362,14649,12072,24972,12340,10085,12478,24341,15168
MFGE8,7686,14087,12342,100743,3238,23826,12782,14989,53709,1836,18346,7223,39682,7186,15809,11564,8609,12548,27972,8782
EIF4A2,18734,11265,10846,26423,17540,28739,14486,35465,23886,9648,26483,16939,29916,18348,18266,27074,14404,19900,14847,18555
